v8-version,7,6,303,29,-node.15,0
code-creation,Builtin,3,2711,0x12dc500,5626,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,3,2716,0x12ddb00,7114,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,3,2722,0x12df6e0,40,StoreInArrayLiteralIC_Slow_GrowNoTransitionHandleCOW
code-creation,Builtin,3,2728,0x12df720,40,StoreInArrayLiteralIC_Slow_NoTransitionIgnoreOOB
code-creation,Builtin,3,2734,0x12df760,40,StoreInArrayLiteralIC_Slow_NoTransitionHandleCOW
code-creation,Builtin,3,2747,0x12df7a0,40,KeyedStoreIC_Slow_Standard
code-creation,Builtin,3,2760,0x12df7e0,40,KeyedStoreIC_Slow_GrowNoTransitionHandleCOW
code-creation,Builtin,3,2769,0x12df820,40,KeyedStoreIC_Slow_NoTransitionIgnoreOOB
code-creation,Builtin,3,2777,0x12df860,40,KeyedStoreIC_Slow_NoTransitionHandleCOW
code-creation,Builtin,3,2785,0x12df8a0,8724,ElementsTransitionAndStore_Standard
code-creation,Builtin,3,2793,0x12e1ac0,18520,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,3,2802,0x12e6320,8724,ElementsTransitionAndStore_NoTransitionIgnoreOOB
code-creation,Builtin,3,2809,0x12e8540,11668,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,3,2816,0x12eb2e0,628,KeyedHasIC_PolymorphicName
code-creation,Builtin,3,2822,0x12eb560,340,KeyedHasIC_SloppyArguments
code-creation,Builtin,3,2827,0x12eb6c0,80,HasIndexedInterceptorIC
code-creation,Builtin,3,2833,0x12eb720,36,HasIC_Slow
code-creation,Builtin,3,2839,0x12eb760,181,EnqueueMicrotask
code-creation,Builtin,3,2844,0x12eb820,8,RunMicrotasksTrampoline
code-creation,Builtin,3,2851,0x12eb840,2324,RunMicrotasks
code-creation,Builtin,3,2857,0x12ec160,2122,HasProperty
code-creation,Builtin,3,2862,0x12ec9c0,1226,DeleteProperty
code-creation,Builtin,3,2867,0x12ecea0,1936,CopyDataProperties
code-creation,Builtin,3,2875,0x12ed640,8664,SetDataProperties
code-creation,Builtin,3,2880,0x12ef820,36,Abort
code-creation,Builtin,3,2885,0x12ef860,36,AbortJS
code-creation,Builtin,3,2890,0x12ef8a0,12,EmptyFunction
code-creation,Builtin,3,2895,0x12ef8c0,12,Illegal
code-creation,Builtin,3,2902,0x12ef8e0,12,StrictPoisonPillThrower
code-creation,Builtin,3,2907,0x12ef900,12,UnsupportedThrower
code-creation,Builtin,3,2913,0x12ef920,65,ReturnReceiver
code-creation,Builtin,3,2918,0x12ef980,36,ArrayConstructor
code-creation,Builtin,3,2923,0x12ef9c0,413,ArrayConstructorImpl
code-creation,Builtin,3,2928,0x12efb60,233,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,2940,0x12efc60,233,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,2946,0x12efd60,197,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
